Number of labels,Accuracy
2,54.82
2,51.20
2,56.43
2,55.82
2,58.03
2,55.62
2,57.63
2,59.44
2,57.23
2,56.22
2,58.03
2,53.21
2,55.82
2,57.23
2,57.23
4,66.13
4,58.67
4,64.31
4,60.28
4,59.07
4,62.50
4,62.70
4,61.49
4,63.51
4,62.50
4,61.90
4,52.42
4,65.93
4,63.91
4,60.28
8,67.89
8,67.89
8,68.90
8,70.33
8,64.43
8,69.31
8,78.46
8,66.67
8,67.89
8,73.78
8,62.20
8,65.24
8,61.18
8,63.41
8,66.46
16,84.50
16,78.10
16,86.16
16,76.24
16,73.55
16,75.00
16,78.72
16,83.26
16,82.02
16,78.51
16,84.09
16,75.41
16,77.89
16,83.26
16,74.17
32,86.75
32,84.83
32,93.16
32,91.88
32,89.96
32,86.54
32,92.74
32,91.88
32,92.52
32,94.02
32,88.25
32,84.19
32,89.10
32,92.52
32,91.67
