Number of labels,Accuracy
2,86.14
2,83.94
2,82.33
2,86.95
2,72.49
2,68.67
2,83.73
2,51.61
2,73.49
2,82.53
2,56.63
2,69.48
2,69.88
2,77.91
2,73.90
4,72.18
4,79.23
4,77.62
4,81.05
4,96.37
4,82.26
4,79.44
4,72.38
4,95.77
4,96.17
4,92.94
4,96.17
4,84.27
4,69.76
4,93.75
8,93.90
8,86.99
8,85.37
8,96.34
8,93.50
8,88.62
8,86.38
8,83.74
8,96.34
8,87.40
8,83.74
8,84.55
8,96.34
8,96.75
8,83.33
16,95.66
16,92.77
16,95.87
16,96.28
16,95.87
16,95.66
16,96.28
16,79.13
16,96.28
16,94.42
16,79.96
16,96.49
16,96.49
16,87.81
16,96.07
32,96.37
32,96.58
32,95.94
32,92.95
32,96.37
32,95.73
32,95.94
32,96.37
32,94.44
32,93.59
32,92.52
32,96.15
32,96.37
32,95.30
32,95.94
