Number of labels,Accuracy
2,86.95
2,86.55
2,86.35
2,87.15
2,87.55
2,72.49
2,86.75
2,89.36
2,80.52
2,86.95
2,72.29
2,75.70
2,72.49
2,80.52
2,83.94
4,89.72
4,91.33
4,94.76
4,85.28
4,85.89
4,86.29
4,86.09
4,87.10
4,82.46
4,85.08
4,86.69
4,93.95
4,83.67
4,72.38
4,94.35
8,86.99
8,86.99
8,95.33
8,82.52
8,88.41
8,86.79
8,86.99
8,86.99
8,95.33
8,85.16
8,86.18
8,86.59
8,91.46
8,86.38
8,86.99
16,86.78
16,85.95
16,85.33
16,84.50
16,92.98
16,81.82
16,87.40
16,93.60
16,87.81
16,91.53
16,81.82
16,94.63
16,95.45
16,86.78
16,86.78
32,94.02
32,86.32
32,86.32
32,93.59
32,86.32
32,86.54
32,91.45
32,86.75
32,86.75
32,95.09
32,88.89
32,86.75
32,86.32
32,87.61
32,86.32
