Number of labels,Accuracy
2,82.93
2,81.93
2,84.34
2,77.71
2,72.89
2,76.71
2,75.70
2,72.89
2,65.66
2,77.31
2,70.28
2,25.70
2,25.10
2,84.94
2,83.33
4,84.68
4,75.81
4,83.87
4,79.23
4,68.55
4,75.00
4,85.08
4,70.77
4,79.44
4,77.02
4,80.04
4,30.85
4,83.87
4,86.49
4,75.00
8,82.32
8,72.15
8,86.38
8,81.30
8,85.37
8,85.16
8,81.71
8,80.89
8,91.46
8,78.86
8,48.37
8,78.05
8,66.26
8,81.30
8,87.80
16,92.56
16,86.78
16,93.18
16,95.87
16,77.07
16,85.54
16,88.43
16,91.12
16,90.50
16,86.98
16,86.16
16,91.74
16,89.88
16,88.22
16,80.99
32,93.59
32,88.03
32,92.74
32,94.02
32,90.60
32,94.66
32,93.80
32,94.66
32,93.38
32,89.74
32,91.67
32,93.16
32,91.03
32,95.73
32,93.59
