Number of labels,Accuracy
2,82.33
2,83.73
2,86.55
2,78.71
2,75.90
2,78.51
2,79.52
2,78.51
2,70.08
2,77.51
2,69.48
2,25.90
2,22.09
2,84.54
2,86.35
4,85.28
4,77.22
4,82.06
4,81.25
4,70.77
4,80.24
4,84.68
4,75.81
4,83.47
4,77.62
4,84.27
4,22.58
4,87.30
4,84.68
4,79.64
8,85.57
8,63.82
8,84.35
8,81.91
8,80.69
8,82.72
8,82.11
8,82.32
8,89.02
8,83.74
8,55.28
8,90.24
8,74.80
8,81.71
8,87.40
16,88.43
16,85.54
16,90.91
16,91.74
16,77.89
16,86.98
16,82.85
16,87.40
16,84.50
16,84.50
16,79.75
16,92.36
16,89.26
16,89.26
16,80.58
32,92.09
32,86.97
32,90.81
32,91.67
32,88.46
32,92.74
32,91.88
32,91.88
32,91.67
32,86.32
32,90.17
32,87.18
32,91.67
32,91.67
32,89.53
