Number of labels,Accuracy
30,64.25
30,72.53
40,61.98
20,34.76
10,10.93
50,81.73
20,47.12
10,10.50
40,59.27
20,34.52
10,18.73
50,83.53
30,66.06
40,42.16
10,11.69
50,76.89
20,56.05
30,46.55
40,68.30
30,47.63
20,37.87
50,73.51
10,21.41
40,40.79
50,74.05
30,64.82
20,28.29
10,43.11
50,59.56
40,61.38
10,18.85
20,38.39
30,66.49
10,10.82
50,60.05
40,91.30
40,73.12
20,35.86
30,67.96
50,75.16
20,31.93
40,53.65
30,39.49
10,20.61
10,20.38
20,14.80
50,70.09
30,32.27
40,64.33
20,29.10
30,58.40
50,91.39
10,9.97
40,56.15
50,80.64
10,10.32
20,49.63
30,50.61
40,58.52
10,10.20
50,78.20
20,31.33
30,76.55
40,67.82
10,20.66
50,79.78
20,24.91
30,25.54
40,57.88
50,80.96
10,10.82
20,57.42
30,68.79
10,13.14
20,15.36
40,80.83
50,63.75
30,49.25
40,79.15
50,73.74
10,10.59
20,57.37
30,28.84
40,93.46
50,93.60
20,27.59
10,9.96
30,61.60
40,76.97
50,78.39
30,37.61
10,9.36
20,22.95
40,69.05
50,83.83
